key,en,pt,es,fr,it
No answers (false),,Sem respostas (falso),Sin respuestas (falso),Pas de réponses (faux),Nessuna risposta (falso)
No conditions yet — pick a template below and click “Add”.,,Ainda sem condições — escolha um modelo abaixo e clique em “Adicionar”.,Aún sin condiciones — elija una plantilla abajo y haga clic en “Añadir”.,Pas encore de conditions — choisissez un modèle ci-dessous et cliquez sur « Ajouter ».,Ancora nessuna condizione — scegli un modello qui sotto e fai clic su “Aggiungi”.
No explanation to drill.,,Nenhuma explicação para explorar.,Ninguna explicación para explorar.,Aucune explication à explorer.,Nessuna spiegazione da esplorare.
No facts yet — pick a template below and click “Add”.,,Ainda sem factos — escolha um modelo abaixo e clique em “Adicionar”.,Aún sin hechos — elija una plantilla abajo y haga clic en “Añadir”.,Pas encore de faits — choisissez un modèle ci-dessous et cliquez sur « Ajouter ».,Ancora nessun fatto — scegli un modello qui sotto e fai clic su “Aggiungi”.
No model configured,,Nenhum modelo configurado,Ningún modelo configurado,Aucun modèle configuré,Nessun modello configurato
No results returned.,,Nenhum resultado devolvido.,No se devolvió ningún resultado.,Aucun résultat renvoyé.,Nessun risultato restituito.
No variables for this call.,,Sem variáveis nesta chamada.,Sin variables en esta llamada.,Pas de variables pour cet appel.,Nessuna variabile per questa chiamata.
Node copied to clipboard,,Nó copiado para a área de transferência,Nodo copiado al portapapeles,Nœud copié dans le presse-papiers,Nodo copiato negli appunti
Nothing else to show. Feel free to alter your choices above.,,Nada mais a mostrar. Pode alterar as escolhas acima.,Nada más que mostrar. Puede modificar sus elecciones de arriba.,Rien d'autre à montrer. Vous pouvez modifier vos choix ci-dessus.,Nient'altro da mostrare. Puoi modificare le scelte qui sopra.
Please enter a custom query.,,Introduza uma consulta personalizada.,Introduzca una consulta personalizada.,Veuillez saisir une requête personnalisée.,Inserisci un'interrogazione personalizzata.
Please give the query a name.,,Dê um nome à consulta.,Dé un nombre a la consulta.,Veuillez donner un nom à la requête.,Dai un nome all'interrogazione.
Please give the scenario a name.,,Dê um nome ao cenário.,Dé un nombre al escenario.,Veuillez donner un nom au scénario.,Dai un nome allo scenario.
Please select a query for the Proof Game.,,Selecione uma consulta para o Jogo da Prova.,Seleccione una consulta para el Juego de la Prueba.,Veuillez sélectionner une requête pour le Jeu de la preuve.,Seleziona un'interrogazione per il Gioco della Prova.
Please select a query.,,Selecione uma consulta.,Seleccione una consulta.,Veuillez sélectionner une requête.,Seleziona un'interrogazione.
Please wait for the module to load.,,Aguarde o carregamento do módulo.,Espere a que se cargue el módulo.,Veuillez attendre le chargement du module.,Attendi il caricamento del modulo.
Progress,,Progresso,Progreso,Progression,Avanzamento
Query failed.,,A consulta falhou.,La consulta falló.,La requête a échoué.,L'interrogazione è fallita.
Query finished.,,Consulta terminada.,Consulta terminada.,Requête terminée.,Interrogazione terminata.
Query interrupted.,,Consulta interrompida.,Consulta interrumpida.,Requête interrompue.,Interrogazione interrotta.
Ready,,Pronto,Listo,Prêt,Pronto
Regenerate,,Regenerar,Regenerar,Régénérer,Rigenera
Remove query,,Remover consulta,Quitar consulta,Retirer la requête,Rimuovi interrogazione
Results,,Resultados,Resultados,Résultats,Risultati
Running queries…,,A correr consultas…,Ejecutando consultas…,Exécution des requêtes…,Esecuzione delle interrogazioni…
Scenario copied to clipboard,,Cenário copiado para a área de transferência,Escenario copiado al portapapeles,Scénario copié dans le presse-papiers,Scenario copiato negli appunti
Write it in English,,Escreva em Português,Escríbalo en español,Écrivez-le en français,Scrivilo in italiano
Write it in English…,,Escreva em Português…,Escríbalo en español…,Écrivez-le en français…,Scrivilo in italiano…
the LLM request failed.,,o pedido ao LLM falhou.,la solicitud al LLM falló.,la demande au LLM a échoué.,la richiesta al LLM è fallita.
Important reason: ,,Razão importante: ,Razón importante: ,Raison importante : ,Ragione importante: 
repeated sub-explanations,,sub-explicações repetidas,subexplicaciones repetidas,sous-explications répétées,sotto-spiegazioni ripetute
assumed,,assumido,asumido,supposé,assunto
FAIL,,FALHA,FALLO,ÉCHEC,FALLITO
STOP,,PARAR,PARAR,ARRÊT,STOP
Unindent,,Desindentar,Desindentar,Désindenter,Deindenta
Language,,Língua,Idioma,Langue,Lingua
Answers,,Respostas,Respuestas,Réponses,Risposte
[Empty Scenario],,[Cenário vazio],[Escenario vacío],[Scénario vide],[Scenario vuoto]
Bento Box,,Caixa Bento,Caja Bento,Boîte Bento,Bento Box
Bento Box…,,Caixa Bento…,Caja Bento…,Boîte Bento…,Bento Box…
"Render this answer's explanation as nested bento compartments, in a separate window",,"Apresenta a explicação desta resposta como compartimentos bento aninhados, numa janela separada","Presenta la explicación de esta respuesta como compartimentos bento anidados, en una ventana separada","Présente l'explication de cette réponse sous forme de compartiments bento imbriqués, dans une fenêtre séparée","Presenta la spiegazione di questa risposta come scomparti bento annidati, in una finestra separata"
Legend,,Legenda,Leyenda,Légende,Legenda
Click a box to highlight its source in the editor.,,Clique numa caixa para realçar a sua origem no editor.,Haga clic en una caja para resaltar su origen en el editor.,Cliquez sur une boîte pour mettre en évidence sa source dans l'éditeur.,Fai clic su una scatola per evidenziare la sua origine nell'editor.
No explanation to display.,,Sem explicação para mostrar.,No hay explicación que mostrar.,Aucune explication à afficher.,Nessuna spiegazione da mostrare.
QR code,,Código QR,Código QR,Code QR,Codice QR
QR code…,,Código QR…,Código QR…,Code QR…,Codice QR…
Show a QR code that opens this document (with its selected scenario and query),,Mostra um código QR que abre este documento (com o cenário e a consulta selecionados),Muestra un código QR que abre este documento (con el escenario y la consulta seleccionados),Affiche un code QR qui ouvre ce document (avec le scénario et la requête sélectionnés),Mostra un codice QR che apre questo documento (con lo scenario e l'interrogazione selezionati)
Scan to open this document.,,Digitalize para abrir este documento.,Escanee para abrir este documento.,Scannez pour ouvrir ce document.,Scansiona per aprire questo documento.
"The URL is too long for a QR code ({n} characters; the limit is {max}). Shorten the program, or save it as a server example and share its example URL instead.",,"O URL é demasiado longo para um código QR ({n} caracteres; o limite é {max}). Encurte o programa, ou guarde-o como exemplo no servidor e partilhe o URL do exemplo.","La URL es demasiado larga para un código QR ({n} caracteres; el límite es {max}). Acorte el programa, o guárdelo como ejemplo en el servidor y comparta la URL del ejemplo.","L'URL est trop longue pour un code QR ({n} caractères ; la limite est {max}). Raccourcissez le programme, ou enregistrez-le comme exemple sur le serveur et partagez l'URL de l'exemple.","L'URL è troppo lungo per un codice QR ({n} caratteri; il limite è {max}). Accorci il programma, o lo salvi come esempio sul server e condivida l'URL dell'esempio."
Unknowns,,Desconhecidos,Desconocidos,Inconnus,Sconosciuti
Scenarios,,Cenários,Escenarios,Scénarios,Scenari
Queries,,Consultas,Consultas,Requêtes,Interrogazioni
Templates,,Modelos,Plantillas,Modèles,Modelli
Run,,Correr,Ejecutar,Exécuter,Esegui
Back,,Voltar,Volver,Retour,Indietro
Question,,Pergunta,Pregunta,Question,Domanda
Logged in as: ,,Sessão iniciada como: ,Sesión iniciada como: ,Connecté en tant que : ,Accesso effettuato come: 
Login,,Iniciar sessão,Iniciar sesión,Se connecter,Accedi
Logout,,Terminar sessão,Cerrar sesión,Se déconnecter,Esci
Login Failed,,Falha no início de sessão,Error al iniciar sesión,Échec de la connexion,Accesso non riuscito
Invalid email or password.,,Email ou palavra-passe inválidos.,Correo electrónico o contraseña no válidos.,Email ou mot de passe invalide.,Email o password non validi.
Try again,,Tentar novamente,Intentar de nuevo,Réessayer,Riprova
Edit and Query: ,,Editar e consultar: ,Editar y consultar: ,Modifier et interroger : ,Modifica e interroga: 
[New Document],,[Novo documento],[Nuevo documento],[Nouveau document],[Nuovo documento]
expand all,,expandir tudo,expandir todo,tout déplier,espandi tutto
collapse all,,recolher tudo,contraer todo,tout replier,comprimi tutto
[show all],,[mostrar tudo],[mostrar todo],[tout montrer],[mostra tutto]
Just run a program: ,,Apenas correr um programa: ,Solo ejecutar un programa: ,Exécuter simplement un programme : ,Esegui solo un programma: 
[Executive view],,[Vista executiva],[Vista ejecutiva],[Vue exécutive],[Vista esecutiva]
"A minimalist, mobile-friendly way to pick a program, choose a scenario and question, and see the answer — no editing.",,"Uma forma minimalista e amiga do telemóvel de escolher um programa, um cenário e uma pergunta, e ver a resposta — sem edição.","Una forma minimalista y apta para el móvil de elegir un programa, un escenario y una pregunta, y ver la respuesta — sin edición.","Une façon minimaliste et adaptée au mobile de choisir un programme, un scénario et une question, et de voir la réponse — sans édition.","Un modo minimalista e adatto ai dispositivi mobili per scegliere un programma, uno scenario e una domanda, e vedere la risposta — senza modifiche."
GitHub Repository,,Repositório GitHub,Repositorio GitHub,Dépôt GitHub,Repository GitHub
Documentation,,Documentação,Documentación,Documentation,Documentazione
A Gentle Introduction to Logical English 2,,Uma introdução suave ao Logical English 2,Una introducción amable a Logical English 2,Une introduction en douceur au Logical English 2,Un'introduzione delicata al Logical English 2
How to use the LE2 web application,,Como usar a aplicação web LE2,Cómo usar la aplicación web LE2,Comment utiliser l'application web LE2,Come usare l'applicazione web LE2
Logical English syntax summary,,Resumo da sintaxe do Logical English,Resumen de la sintaxis de Logical English,Résumé de la syntaxe du Logical English,Riepilogo della sintassi del Logical English
Hello! I am your Logical English Assistant. How can I help you today?,,Olá! Sou o seu Assistente de Logical English. Como posso ajudar hoje?,¡Hola! Soy su Asistente de Logical English. ¿Cómo puedo ayudarle hoy?,Bonjour ! Je suis votre Assistant Logical English. Comment puis-je vous aider aujourd'hui ?,Ciao! Sono il tuo Assistente di Logical English. Come posso aiutarti oggi?
I have updated the editor content with the changes.,,Atualizei o conteúdo do editor com as alterações.,He actualizado el contenido del editor con los cambios.,J'ai mis à jour le contenu de l'éditeur avec les modifications.,Ho aggiornato il contenuto dell'editor con le modifiche.
Request completed in {n} seconds.,,Pedido concluído em {n} segundos.,Solicitud completada en {n} segundos.,Requête terminée en {n} secondes.,Richiesta completata in {n} secondi.
Request interrupted by user after {n} seconds.,,Pedido interrompido pelo utilizador após {n} segundos.,Solicitud interrumpida por el usuario después de {n} segundos.,Requête interrompue par l'utilisateur après {n} secondes.,Richiesta interrotta dall'utente dopo {n} secondi.
Other languages: ,,Outras línguas: ,Otros idiomas: ,Autres langues : ,Altre lingue: 
Logical English (in English),,Logical English (em inglês),Logical English (en inglés),Logical English (en anglais),Logical English (in inglese)
Choose a language: ,,Escolha uma língua: ,Elija un idioma: ,Choisissez une langue : ,Scegli una lingua: 
Test Suite,,Bateria de testes,Batería de pruebas,Suite de tests,Suite di test
Run All Tests,,Correr todos os testes,Ejecutar todas las pruebas,Exécuter tous les tests,Esegui tutti i test
Email: ,,Email: ,Email: ,Email : ,Email: 
Password: ,,Palavra-passe: ,Contraseña: ,Mot de passe : ,Password: 
"Start here: a hands-on tutorial that builds three small programs — a tea party, a flying dragon, and a slice of British nationality law — teaching how to write, query and debug LE in the editor.",,"Comece aqui: um tutorial prático que constrói três pequenos programas — uma festa de chá, um dragão voador e um pedaço da lei de nacionalidade britânica — ensinando a escrever, consultar e depurar LE no editor.","Empiece aquí: un tutorial práctico que construye tres pequeños programas — una fiesta del té, un dragón volador y un fragmento de la ley de nacionalidad británica — enseñando a escribir, consultar y depurar LE en el editor.","Commencez ici : un tutoriel pratique qui construit trois petits programmes — une fête du thé, un dragon volant et un morceau de la loi sur la nationalité britannique — et apprend à écrire, interroger et déboguer LE dans l'éditeur.","Comincia qui: un tutorial pratico che costruisce tre piccoli programmi — una festa del tè, un drago volante e uno scorcio della legge sulla nazionalità britannica — insegnando a scrivere, interrogare ed eseguire il debug di LE nell'editor."
"The editor manual: opening and saving files, running queries, the scenario and query editors, scenario variations, and reading the explanation trees.",,"O manual do editor: abrir e guardar ficheiros, correr consultas, os editores de cenários e consultas, variações de cenário e a leitura das árvores de explicação.","El manual del editor: abrir y guardar archivos, ejecutar consultas, los editores de escenarios y consultas, variaciones de escenario y la lectura de los árboles de explicación.","Le manuel de l'éditeur : ouvrir et enregistrer des fichiers, exécuter des requêtes, les éditeurs de scénarios et de requêtes, les variations de scénario et la lecture des arbres d'explication.","Il manuale dell'editor: aprire e salvare file, eseguire interrogazioni, gli editor di scenari e interrogazioni, le variazioni di scenario e la lettura degli alberi di spiegazione."
"The language reference: every construct — templates, rules, operators, aggregates, variables and types, dates, ontology, extensions — for looking things up as you write.",,"A referência da linguagem: todas as construções — modelos, regras, operadores, agregações, variáveis e tipos, datas, ontologia, extensões — para consultar enquanto escreve.","La referencia del lenguaje: todas las construcciones — plantillas, reglas, operadores, agregaciones, variables y tipos, fechas, ontología, extensiones — para consultar mientras escribe.","La référence du langage : toutes les constructions — modèles, règles, opérateurs, agrégats, variables et types, dates, ontologie, extensions — à consulter pendant que vous écrivez.","Il riferimento del linguaggio: tutti i costrutti — modelli, regole, operatori, aggregati, variabili e tipi, date, ontologia, estensioni — da consultare mentre scrivi."
Larger important reasons,,Razões importantes mais amplas,Razones importantes más amplias,Raisons importantes élargies,Motivi importanti più ampi
"When on, the important reason for a failed query lists all of the deepest failed conditions (""it is not the case that X, nor that Y, nor that Z""), truncated after the third, instead of just the first.",,"Quando ativo, a razão importante de uma consulta falhada enumera todas as condições falhadas mais profundas (""não é o caso que X, nem que Y, nem que Z""), truncada após a terceira, em vez de apenas a primeira.","Cuando está activo, la razón importante de una consulta fallida enumera todas las condiciones fallidas más profundas (""no es el caso que X, ni que Y, ni que Z""), truncada tras la tercera, en lugar de solo la primera.","Quand elle est activée, la raison importante d'une requête en échec liste toutes les conditions en échec les plus profondes (« il n'est pas le cas que X, ni que Y, ni que Z »), tronquée après la troisième, au lieu de seulement la première.","Quando attivo, il motivo importante di un'interrogazione fallita elenca tutte le condizioni fallite più profonde (""non è il caso che X, né che Y, né che Z""), troncato dopo il terzo, invece del solo primo."
Always show engine choice,,Mostrar sempre a escolha do motor,Mostrar siempre la elección del motor,Toujours afficher le choix du moteur,Mostra sempre la scelta del motore
Show engine choice only for non-Prolog,,Mostrar a escolha do motor apenas para não-Prolog,Mostrar la elección del motor solo para no-Prolog,Afficher le choix du moteur uniquement pour non-Prolog,Mostra la scelta del motore solo per non-Prolog
{n} occurrence(s); click one to go to it,,{n} ocorrência(s); clique numa para ir até ela,{n} aparición(es); haga clic en una para ir a ella,{n} occurrence(s) ; cliquez sur une pour y aller,{n} occorrenza/e; fai clic su una per andarci
This is defined in the included resource,,Isto está definido no recurso incluído,Esto está definido en el recurso incluido,Ceci est défini dans la ressource incluse,Questo è definito nella risorsa inclusa
In the included resource,,No recurso incluído,En el recurso incluido,Dans la ressource incluse,Nella risorsa inclusa
line,,linha,línea,ligne,riga
rule,,regra,regla,règle,regola
according to,,de acordo com,de acuerdo con,selon,secondo
because,,porque,porque,parce que,perché
at,,em,en,à,a
Source,,Fonte,Fuente,Source,Fonte
Published at,,Publicado em,Publicado en,Publié à,Pubblicato a
Open original,,Abrir original,Abrir original,Ouvrir l'original,Apri originale
The program does not say where the text of this document is,,O programa não diz onde está o texto deste documento,El programa no dice dónde está el texto de este documento,Le programme ne dit pas où se trouve le texte de ce document,Il programma non dice dove si trova il testo di questo documento
Loading the document…,,A carregar o documento…,Cargando el documento…,Chargement du document…,Caricamento del documento…
The quoted passage was not found in this text.,,A passagem citada não foi encontrada neste texto.,El pasaje citado no se encontró en este texto.,Le passage cité est introuvable dans ce texte.,Il passaggio citato non è stato trovato in questo testo.
Show the source,,Mostrar a fonte,Mostrar la fuente,Afficher la source,Mostra la fonte
Show original text,,Mostrar o texto original,Mostrar el texto original,Afficher le texte original,Mostra il testo originale
No cited document here.,,Nenhum documento citado aqui.,No hay ningún documento citado aquí.,Aucun document cité ici.,Nessun documento citato qui.
the passage that states it,,a passagem que o afirma,el pasaje que lo afirma,le passage qui l'énonce,il passaggio che lo afferma
"Where the document states this fact: the passage, or ""according to …"", ""as stated in … at …""",,"Onde o documento afirma este facto: a passagem, ou ""de acordo com …"", ""conforme consta em … em …""","Dónde afirma el documento este hecho: el pasaje, o ""de acuerdo con …"", ""según consta en … en …""","Où le document énonce ce fait : le passage, ou « selon … », « comme indiqué dans … à … »","Dove il documento afferma questo fatto: il passaggio, o ""secondo …"", ""come indicato in … a …"""
Cite the passage that states this fact,,Citar a passagem que afirma este facto,Citar el pasaje que afirma este hecho,Citer le passage qui énonce ce fait,Citare il passaggio che afferma questo fatto
Citations,,Citações,Citas,Citations,Citazioni
Full explanation,,Explicação completa,Explicación completa,Explication complète,Spiegazione completa
Flip…,,Inverter…,Invertir…,Inverser…,Invertire…
"Which minimal change to the scenario would flip the outcome? Asks a flip query about the selected answer (or the query), as a custom query you can edit",,"Que alteração mínima ao cenário inverteria o resultado? Faz uma consulta de inversão sobre a resposta selecionada (ou a consulta), como consulta personalizada que pode editar","¿Qué cambio mínimo al escenario invertiría el resultado? Hace una consulta de inversión sobre la respuesta seleccionada (o la consulta), como consulta personalizada que puede editar","Quel changement minimal du scénario inverserait le résultat ? Pose une requête d'inversion sur la réponse sélectionnée (ou la requête), comme requête personnalisée modifiable","Quale cambiamento minimo dello scenario invertirebbe il risultato? Pone un'interrogazione di inversione sulla risposta selezionata (o sull'interrogazione), come interrogazione personalizzata modificabile"
Flip the outcome,,Inverter o resultado,Invertir el resultado,Inverser le résultat,Invertire il risultato
Flip,,Inverter,Invertir,Inverser,Invertire
"The answers are the smallest sets of scenario facts to add or remove that make it so, each with the proof it then has. The flip runs on the selected scenario, as a custom query you can edit and run again.",,"As respostas são os menores conjuntos de factos do cenário a acrescentar ou retirar para que assim seja, cada um com a prova que então tem. A inversão corre sobre o cenário selecionado, como consulta personalizada que pode editar e voltar a correr.","Las respuestas son los conjuntos más pequeños de hechos del escenario que añadir o quitar para que así sea, cada uno con la prueba que entonces tiene. La inversión se ejecuta sobre el escenario seleccionado, como consulta personalizada que puede editar y volver a ejecutar.","Les réponses sont les plus petits ensembles de faits du scénario à ajouter ou retirer pour qu'il en soit ainsi, chacun avec la preuve qu'il donne alors. L'inversion porte sur le scénario sélectionné, comme requête personnalisée que vous pouvez modifier et relancer.","Le risposte sono gli insiemi più piccoli di fatti dello scenario da aggiungere o togliere perché sia così, ciascuno con la prova che allora ha. L'inversione si esegue sullo scenario selezionato, come interrogazione personalizzata che può modificare e rieseguire."
From a document,,A partir de um documento,A partir de un documento,À partir d'un document,Da un documento
Paste or fetch the document text below: each fact will cite the passage that states it.,,Cole ou obtenha abaixo o texto do documento: cada facto citará a passagem que o afirma.,Pegue u obtenga abajo el texto del documento: cada hecho citará el pasaje que lo afirma.,Collez ou récupérez ci-dessous le texte du document : chaque fait citera le passage qui l'énonce.,Incolli o recuperi qui sotto il testo del documento: ogni fatto citerà il passaggio che lo afferma.
"Document name, e.g. ruling NY N362700",,"Nome do documento, p. ex. ruling NY N362700","Nombre del documento, p. ej. ruling NY N362700","Nom du document, p. ex. ruling NY N362700","Nome del documento, ad es. ruling NY N362700"
"Address of its text: a URL, or a file beside the program",,"Endereço do texto: um URL, ou um ficheiro junto ao programa","Dirección del texto: una URL, o un archivo junto al programa","Adresse du texte : une URL, ou un fichier à côté du programme","Indirizzo del testo: un URL, o un file accanto al programma"
Fetch text,,Obter texto,Obtener texto,Récupérer le texte,Recupera testo
Provenance,,Proveniência,Procedencia,Provenance,Provenienza
New tab,,Novo separador,Nueva pestaña,Nouvel onglet,Nuova scheda
The queries and the assistant are about this program,,As consultas e o assistente são sobre este programa,Las consultas y el asistente tratan de este programa,Les requêtes et l'assistant portent sur ce programme,Le interrogazioni e l'assistente riguardano questo programma
You have unsaved changes. Close this tab anyway?,,Tem alterações por guardar. Fechar este separador mesmo assim?,Tiene cambios sin guardar. ¿Cerrar esta pestaña de todos modos?,Vous avez des modifications non enregistrées. Fermer cet onglet quand même ?,Ci sono modifiche non salvate. Chiudere comunque questa scheda?
Could not open the included resource,,Não foi possível abrir o recurso incluído,No se pudo abrir el recurso incluido,Impossible d'ouvrir la ressource incluse,Impossibile aprire la risorsa inclusa
Views,,Vistas,Vistas,Vues,Viste
Without a view,,Sem vista,Sin vista,Sans vue,Senza vista
New case,,Novo caso,Nuevo caso,Nouveau cas,Nuovo caso
The case,,O caso,El caso,Le cas,Il caso
Judgments,,Juízos,Juicios,Jugements,Giudizi
Other facts,,Outros factos,Otros hechos,Autres faits,Altri fatti
Facts,,Factos,Hechos,Faits,Fatti
not stated,,não indicado,no indicado,non indiqué,non indicato
not met,,não cumprido,no cumplido,non rempli,non soddisfatto
Why not,,Porque não,Por qué no,Pourquoi pas,Perché no
one of,,um de,uno de,l’un de,uno tra
The text the model wrote:,,O texto que o modelo escreveu:,El texto que escribió el modelo:,Le texte écrit par le modèle :,Il testo scritto dal modello:
No — no answers for this query.,,Não — esta consulta não tem respostas.,No — esta consulta no tiene respuestas.,Non — cette requête n’a pas de réponse.,No — questa interrogazione non ha risposte.
given,,dado que,dado que,étant donné,dato che
State it,,Indicá-lo,Indicarlo,L'indiquer,Indicarlo
No answer,,Sem resposta,Sin respuesta,Pas de réponse,Nessuna risposta
assuming,,supondo,suponiendo,en supposant,supponendo
No sections to check.,,Não há secções a verificar.,No hay secciones que comprobar.,Aucune section à vérifier.,Nessuna sezione da verificare.
passed,,passou,superada,passée,superata
failed,,falhou,fallida,échouée,fallita
not reached,,não alcançada,no alcanzada,non atteinte,non raggiunta
No cited steps.,,Nenhum passo citado.,Ningún paso citado.,Aucune étape citée.,Nessun passo citato.
yes,,sim,sí,oui,sì
no,,não,no,non,no
No reasons to show.,,Não há razões a mostrar.,No hay razones que mostrar.,Aucune raison à montrer.,Nessuna ragione da mostrare.
No documents cited.,,Nenhum documento citado.,Ningún documento citado.,Aucun document cité.,Nessun documento citato.
What would change this?,,O que mudaria isto?,¿Qué cambiaría esto?,Qu'est-ce qui changerait cela ?,Cosa cambierebbe questo?
Searching…,,A procurar…,Buscando…,Recherche…,Ricerca…
No change of up to three facts would change it.,,Nenhuma alteração de até três factos o mudaria.,Ningún cambio de hasta tres hechos lo cambiaría.,Aucun changement d'au plus trois faits ne le changerait.,Nessun cambiamento di al massimo tre fatti lo cambierebbe.
change sets,,conjuntos de alterações,conjuntos de cambios,ensembles de changements,insiemi di cambiamenti
Answering,,Responder,Responder,Répondre,Rispondere
to,,a,a,à,a
None.,,Nenhum.,Ninguno.,Aucun.,Nessuno.
Answer,,Resposta,Respuesta,Réponse,Risposta
fails at,,falha em,falla en,échoue à,fallisce in
Run all cases,,Correr todos os casos,Ejecutar todos los casos,Exécuter tous les cas,Esegui tutti i casi
Stop running cases,,Parar de correr os casos,Detener la ejecución de los casos,Arrêter l’exécution des cas,Interrompi l’esecuzione dei casi
Stopping…,,A parar…,Deteniendo…,Arrêt…,Interruzione…
Running case {i} of {n}…,,A correr o caso {i} de {n}…,Ejecutando el caso {i} de {n}…,Exécution du cas {i} sur {n}…,Esecuzione del caso {i} di {n}…
Stopped after {i} of {n} cases.,,Parado depois de {i} de {n} casos.,Detenido tras {i} de {n} casos.,Arrêté après {i} cas sur {n}.,Interrotto dopo {i} casi su {n}.
{n} cases run.,,{n} casos corridos.,{n} casos ejecutados.,{n} cas exécutés.,{n} casi eseguiti.
Opening the view…,,A abrir a vista…,Abriendo la vista…,Ouverture de la vue…,Apertura della vista…
Case,,Caso,Caso,Cas,Caso
Result,,Resultado,Resultado,Résultat,Risultato
Expected,,Esperado,Esperado,Attendu,Atteso
Nothing is missing.,,Não falta nada.,No falta nada.,Rien ne manque.,Non manca nulla.
No fact of the case would give a result on its own.,,Nenhum facto do caso daria um resultado por si só.,Ningún hecho del caso daría un resultado por sí solo.,Aucun fait du cas ne donnerait à lui seul un résultat.,Nessun fatto del caso darebbe da solo un risultato.
"Yes, state it",,"Sim, indicá-lo","Sí, indicarlo","Oui, l'indiquer","Sì, indicarlo"
Running…,,A correr…,Ejecutando…,Exécution…,In esecuzione…
of at most,,de no máximo,de como máximo,sur au plus,su al massimo
Yes,,Sim,Sí,Oui,Sì
No,,Não,No,Non,No
Not sure,,Não sei,No estoy seguro,Pas sûr,Non sono sicuro
Why,,Porquê,Por qué,Pourquoi,Perché
not sure,,não sei,no estoy seguro,pas sûr,non sono sicuro
Change an answer,,Mudar uma resposta,Cambiar una respuesta,Changer une réponse,Cambiare una risposta
What is missing,,O que falta,Lo que falta,Ce qui manque,Cosa manca
Stage,,Etapa,Etapa,Stade,Fase
Reasons,,Razões,Razones,Raisons,Ragioni
Compare,,Comparar,Comparar,Comparer,Confronta
Documents,,Documentos,Documentos,Documents,Documenti
Cases,,Casos,Casos,Cas,Casi
Draft,,Rascunho,Borrador,Brouillon,Bozza
Find the smallest changes,,Encontrar as menores alterações,Encontrar los cambios más pequeños,Trouver les plus petits changements,Trova i cambiamenti più piccoli
"No text attached to these documents: the program says where each is cited, not where its text is.",,"Nenhum texto associado a estes documentos: o programa diz onde cada um é citado, não onde está o seu texto.","Ningún texto asociado a estos documentos: el programa dice dónde se cita cada uno, no dónde está su texto.","Aucun texte associé à ces documents : le programme dit où chacun est cité, pas où se trouve son texte.","Nessun testo associato a questi documenti: il programma dice dove ciascuno è citato, non dove si trova il suo testo."
Show all,,Mostrar tudo,Mostrar todo,Tout afficher,Mostra tutto
passage,,passagem,pasaje,passage,passaggio
passages,,passagens,pasajes,passages,passaggi
Generate LE view,,Gerar vista LE,Generar vista LE,Générer une vue LE,Genera vista LE
"Draft a view for this program (docs/le_summary.md §17.10): the section that says how a screen shows it — its case facts, its result, what is shown beside it",,"Esboçar uma vista para este programa (docs/le_summary.md §17.10): a secção que diz como um ecrã o mostra — os factos do caso, o resultado, o que se mostra ao lado","Esbozar una vista para este programa (docs/le_summary.md §17.10): la sección que dice cómo lo muestra una pantalla — los hechos del caso, el resultado, lo que se muestra al lado","Esquisser une vue pour ce programme (docs/le_summary.md §17.10) : la section qui dit comment un écran le montre — les faits du cas, le résultat, ce qui est montré à côté","Abbozzare una vista per questo programma (docs/le_summary.md §17.10): la sezione che dice come uno schermo lo mostra — i fatti del caso, il risultato, ciò che si mostra accanto"
The program must load without errors before a view can be drafted.,,O programa tem de carregar sem erros antes de se poder esboçar uma vista.,El programa debe cargarse sin errores antes de poder esbozar una vista.,Le programme doit se charger sans erreur avant qu'une vue puisse être esquissée.,Il programma deve caricarsi senza errori prima di poter abbozzare una vista.
I drafted a view at the end of the program:,,Esbocei uma vista no fim do programa:,Esbocé una vista al final del programa:,J'ai esquissé une vue à la fin du programme :,Ho abbozzato una vista alla fine del programma:
"It lists every fact a case can state as one group, and shows the result of the first query. Edit it: group the facts under titles, head the result by the value that matters, word the questions for an interview. The verifier checks what it names.",,"Lista todos os factos que um caso pode afirmar num grupo e mostra o resultado da primeira consulta. Edite-a: agrupe os factos sob títulos, encabece o resultado pelo valor que importa, redija as perguntas de uma entrevista. O verificador confere o que ela nomeia.","Lista todos los hechos que un caso puede afirmar en un grupo y muestra el resultado de la primera consulta. Edítela: agrupe los hechos bajo títulos, encabece el resultado por el valor que importa, redacte las preguntas de una entrevista. El verificador comprueba lo que nombra.","Elle liste tous les faits qu'un cas peut énoncer en un groupe et montre le résultat de la première requête. Modifiez-la : groupez les faits sous des titres, mettez en tête la valeur qui compte, rédigez les questions d'un entretien. Le vérificateur contrôle ce qu'elle nomme.","Elenca tutti i fatti che un caso può affermare in un gruppo e mostra il risultato della prima interrogazione. La modifichi: raggruppi i fatti sotto titoli, metta in testa il valore che conta, formuli le domande di un'intervista. Il verificatore controlla ciò che nomina."
Open the view,,Abrir a vista,Abrir la vista,Ouvrir la vue,Apri la vista
